,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10650,승리,갱플랭크,Gazuaaaaaaa,5,2,13,26989,10,24,8,246,7.8,1,3,6
1,10650,승리,쉬바나,yizhiyu,3,6,13,19696,6,12,15,202,6.4,1,3,6
2,10650,승리,라이즈,KDM 유준,6,3,4,17564,1,14,9,283,9.0,1,3,6
3,10650,승리,바루스,쌀국수뚝붸기,9,3,5,15919,5,16,5,226,7.2,1,3,6
4,10650,승리,제라스,호잇이,9,0,11,32642,7,21,20,48,1.5,1,3,6
5,10650,패배,이렐리아,승 로,3,5,3,17327,1,13,2,267,8.5,0,1,1
6,10650,패배,니달리,PeanuToT,4,6,6,18187,8,32,13,228,7.2,0,1,1
7,10650,패배,조이,PawN God,3,4,5,25049,5,33,7,225,7.2,0,1,1
8,10650,패배,미스 포츈,Afreeca Kramer,3,8,3,15016,3,29,8,240,7.6,0,1,1
9,10650,패배,소라카,YOYOuuuuuO,1,9,7,3994,5,27,3,9,0.3,0,1,1
10,10651,승리,쉔,원딜둥이,1,7,9,10881,3,19,5,180,5.2,1,1,9
11,10651,승리,아이번,kenzhu9,2,4,19,9643,4,18,5,128,3.7,1,1,9
12,10651,승리,라이즈,KDM PERT,6,4,3,19970,3,17,7,320,9.3,1,1,9
13,10651,승리,트리스타나,SnakeLight,13,3,8,39553,2,13,8,356,10.3,1,1,9
14,10651,승리,알리스타,호잇이,7,5,17,15416,13,46,7,58,1.7,1,1,9
15,10651,패배,나르,우철짱123,2,3,9,25034,1,32,3,268,7.8,0,2,4
16,10651,패배,카직스,으아으앙으아앙,9,8,8,25569,4,11,6,174,5.1,0,2,4
17,10651,패배,트위스티드 페이트,TeachersWu,5,2,9,26177,4,19,3,278,8.1,0,2,4
18,10651,패배,미스 포츈,푸딩은푸딩해,5,8,10,21157,2,14,7,236,6.9,0,2,4
19,10651,패배,소라카,진쟤승,2,8,14,8078,7,41,9,18,0.5,0,2,4
20,10652,승리,제이스,Heiz4,6,6,6,13404,0,7,3,137,6.8,0,2,8
21,10652,승리,니달리,DS XiaoPeng,3,1,8,8146,3,24,18,128,6.4,0,2,8
22,10652,승리,탈리야,으아으앙으아앙,10,1,5,12032,2,7,6,181,9.0,0,2,8
23,10652,승리,미스 포츈,SnakeLight,10,0,4,15641,2,9,2,198,9.8,0,2,8
24,10652,승리,레오나,호잇이,0,1,12,6000,3,21,7,34,1.7,0,2,8
25,10652,패배,라이즈,푸딩은푸딩해,0,10,5,7298,1,9,0,114,5.7,0,0,1
26,10652,패배,카직스,kenzhu9,4,6,2,3873,5,23,4,103,5.1,0,0,1
27,10652,패배,아지르,KDM PERT,3,5,3,10699,3,11,6,144,7.2,0,0,1
28,10652,패배,진,마이엠브,2,4,4,8859,2,9,2,156,7.8,0,0,1
29,10652,패배,알리스타,Nova1,0,4,5,3362,6,34,12,33,1.6,0,0,1
30,10653,승리,갱플랭크,지현이의빗자루,3,6,8,9912,0,18,3,180,7.0,1,1,7
31,10653,승리,렝가,IGS Coli,11,4,6,19761,8,22,8,184,7.1,1,1,7
32,10653,승리,라이즈,FeelsCoffeeMan,1,4,7,9593,5,23,8,225,8.7,1,1,7
33,10653,승리,미스 포츈,VIP 민형,11,2,8,20050,5,12,6,232,9.0,1,1,7
34,10653,승리,레오나,호잇이,3,2,17,7841,10,32,21,53,2.1,1,1,7
35,10653,패배,오른,Delicious Fish,5,4,4,16568,3,14,2,186,7.2,0,2,3
36,10653,패배,카직스,Removed Enterkey,9,6,3,16812,2,16,10,142,5.5,0,2,3
37,10653,패배,카사딘,멘탈 실력 운,0,5,2,10337,5,15,10,219,8.5,0,2,3
38,10653,패배,진,점점나의마음이끌,2,4,2,10646,4,11,3,186,7.2,0,2,3
39,10653,패배,나미,YOYOuuuuuO,2,10,3,6103,7,42,12,13,0.5,0,2,3
40,10654,승리,갱플랭크,chijixuanshou,8,5,10,32086,5,16,2,321,9.3,0,1,8
41,10654,승리,자르반 4세,ZhanQiHuaYm,4,4,20,11198,14,38,16,163,4.7,0,1,8
42,10654,승리,말자하,APK Rainbow,8,6,12,32409,3,18,6,318,9.2,0,1,8
43,10654,승리,미스 포츈,FeelsAwesomeMan,8,6,9,22183,4,17,2,215,6.2,0,1,8
44,10654,승리,레오나,호잇이,3,7,15,9650,12,41,21,81,2.4,0,1,8
45,10654,패배,루시안,Removed Enterkey,7,8,10,23877,2,14,8,293,8.5,2,2,6
46,10654,패배,니달리,DS XiaoPeng,8,7,7,22003,2,29,18,218,6.3,2,2,6
47,10654,패배,라이즈,나에게 기회를,5,5,9,19003,2,10,5,308,8.9,2,2,6
48,10654,패배,진,점점나의마음이끌,4,6,13,27035,9,16,7,261,7.6,2,2,6
49,10654,패배,쉔,Delicious Fish,4,5,12,8222,14,43,19,87,2.5,2,2,6
50,10655,승리,카밀,담원 너구리,6,3,9,30938,2,15,7,260,9.1,1,2,8
